STATE,LEA_NAME,SCHOOL,ISP,ISP_CATEGORY,PARTICIPATION,ENROLLMENT
Washington,CLOVER PARK SCHOOL DISTRICT,BEACHWOOD ELEMENTARY,13.20%,Below 25%,Y,387
Washington,CLOVER PARK SCHOOL DISTRICT,CARTER LAKE ELEMENTARY,14.60%,Below 25%,Y,480
Washington,CLOVER PARK SCHOOL DISTRICT,CLOVER PARK EARLY LEARNING PROGRAM,86.70%,60% and higher,Y,248
Washington,CLOVER PARK SCHOOL DISTRICT,CLOVER PARK HIGH SCHOOL,55.20%,50%-60%,Y,1297
Washington,CLOVER PARK SCHOOL DISTRICT,CPSD OPEN DOORS PROGRAM,62.00%,60% and higher,Y,234
Washington,CLOVER PARK SCHOOL DISTRICT,CUSTER ELEMENTARY,59.30%,50%-60%,Y,290
Washington,CLOVER PARK SCHOOL DISTRICT,DOWER ELEMENTARY,53.10%,50%-60%,Y,277
Washington,CLOVER PARK SCHOOL DISTRICT,EVERGREEN ELEMENTARY,16.10%,Below 25%,Y,503
Washington,CLOVER PARK SCHOOL DISTRICT,FOUR HEROES ELEMENTARY,65.20%,60% and higher,Y,549
Washington,CLOVER PARK SCHOOL DISTRICT,HARRISON PREP,34.70%,25%-40%,Y,698
Washington,CLOVER PARK SCHOOL DISTRICT,HILLSIDE ELEMENTARY,19.80%,Below 25%,Y,536
Washington,CLOVER PARK SCHOOL DISTRICT,HUDTLOFF MIDDLE SCHOOL,50.60%,50%-60%,Y,613
Washington,CLOVER PARK SCHOOL DISTRICT,IDLEWILD ELEMENTARY,28.60%,25%-40%,Y,423
Washington,CLOVER PARK SCHOOL DISTRICT,LAKE LOUISE ELEMENTARY,49.60%,40%-50%,Y,474
Washington,CLOVER PARK SCHOOL DISTRICT,LAKES HIGH SCHOOL,27.10%,25%-40%,Y,1288
Washington,CLOVER PARK SCHOOL DISTRICT,LAKEVIEW HOPE ACADEMY,65.30%,60% and higher,Y,564
Washington,CLOVER PARK SCHOOL DISTRICT,LOCHBURN MIDDLE SCHOOL,66.70%,60% and higher,Y,519
Washington,CLOVER PARK SCHOOL DISTRICT,MERIWETHER ELEMENTARY SCHOOL,4.60%,Below 25%,Y,281
Washington,CLOVER PARK SCHOOL DISTRICT,OAKBROOK ELEMENTARY,36.70%,25%-40%,Y,305
Washington,CLOVER PARK SCHOOL DISTRICT,PARK LODGE ELEMENTARY,55.90%,50%-60%,Y,358
Washington,CLOVER PARK SCHOOL DISTRICT,RAINIER ELEMENTARY SCHOOL,13.20%,Below 25%,Y,585
Washington,CLOVER PARK SCHOOL DISTRICT,THOMAS MIDDLE SCHOOL,30.40%,25%-40%,Y,968
Washington,CLOVER PARK SCHOOL DISTRICT,TILLICUM ELEMENTARY,69.90%,60% and higher,Y,272
Washington,CLOVER PARK SCHOOL DISTRICT,TYEE PARK ELEMENTARY,63.20%,60% and higher,Y,375
