STATE,LEA_NAME,SCHOOL,ISP,ISP_CATEGORY,PARTICIPATION,ENROLLMENT
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,102ND ST CHILDREN'S CENTER,72.7%,60% and higher,Y,66
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,112TH ST CHILDREN'S CENTER II--ANNEX,71.2%,60% and higher,Y,52
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,24TH ST CHILDREN'S CENTER,44.0%,40%-50%,Y,75
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,28TH ST EARLY ED CTR/CCC,58.5%,50%-60%,Y,65
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,36TH ST CHILDREN'S CENTER,41.1%,40%-50%,Y,56
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,37TH ST CHILDREN'S CENTER,50.8%,50%-60%,Y,61
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,52ND ST CHILDREN'S CENTER,55.4%,50%-60%,Y,65
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,66TH STREET CHILDREN'S CENTER,48.2%,40%-50%,Y,85
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,75TH ST CHILDREN'S CENTER,65.7%,60% and higher,Y,99
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,95TH ST CHILDREN'S CENTER II,56.0%,50%-60%,Y,75
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,97TH STREET CHIDREN'S CENTER,54.8%,50%-60%,Y,42
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ABRAHAM LINCOLN SENIOR HIGH,63.4%,60% and higher,Y,997
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ACADEMY FOR ENRICHED SCIENCES,17.2%,Below 25%,Y,303
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALBERT EINSTEIN CONTINUATION,73.4%,60% and higher,Y,79
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALBION ST CHILDREN'S CENTER,44.8%,40%-50%,Y,58
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALBION STREET ELEMENTARY,68.8%,60% and higher,Y,157
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALDAMA ELEMENTARY,48.1%,40%-50%,Y,362
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALEXANDER FLEMING MIDDLE,56.8%,50%-60%,Y,1077
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALEXANDER HAMILTON SENIOR HIGH,46.7%,40%-50%,Y,2198
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALEXANDRIA AVENUE ELEMENTARY,67.6%,60% and higher,Y,540
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALEXANDRIA CHILDREN'S CENTER,46.4%,40%-50%,Y,69
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALFONSO B. PEREZ SPECIAL EDUCATION CENTER,31.0%,25%-40%,Y,229
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALFRED B. NOBEL CHARTER MIDDLE,29.9%,25%-40%,Y,1924
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALLESANDRO ELEMENTARY,43.0%,40%-50%,Y,337
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTA CALIFORNIA ELEMENTARY,74.0%,60% and higher,Y,658
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTA LOMA ELEMENTARY,71.1%,60% and higher,Y,412
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AMANECER PRIMARY CENTER,60.7%,60% and higher,Y,122
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AMBASSADOR SCHOOL-GLOBAL EDUCATION,66.4%,60% and higher,Y,327
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AMBLER AVENUE ELEMENTARY,50.1%,50%-60%,Y,513
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AMELIA EARHART CONTINUATION,70.9%,60% and higher,Y,86
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,AMESTOY ELEMENTARY,52.5%,50%-60%,Y,705
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANATOLA AVENUE ELEMENTARY,61.9%,60% and higher,Y,294
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANDASOL AVENUE ELEMENTARY,45.7%,40%-50%,Y,460
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANDRES AND MARIA CARDENAS ELEMENTARY,79.5%,60% and higher,Y,492
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANDREW CARNEGIE MIDDLE,51.2%,50%-60%,Y,807
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANGEL'S GATE (CONTINUATION),75.3%,60% and higher,Y,73
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANGELES MESA ELEMENTARY,72.2%,60% and higher,Y,317
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANN STREET ELEMENTARY,91.7%,60% and higher,Y,72
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ANNALEE AVENUE ELEMENTARY,58.9%,50%-60%,Y,202
